Date,Username,Tweet
2023-02-09 11:54:00+00:00,PendisKemenag,"Siswa MAN IC Bateng Raih Nilai UKBI Tertinggi se-Babel dengan Predikat Istimewa

https://t.co/XuYigi4Syw"
2023-02-09 07:51:00+00:00,PendisKemenag,"Sisihkan 4000 Peserta, Dua Siswi MAN 1 Medan Raih Prestasi Dalam Ajang Duta Muda Sumatera Utara

https://t.co/AdbI6YvfnS"
2023-02-09 07:50:00+00:00,PendisKemenag,"Siswa MTsN 1 Medan Raih Medali di Ajang Olimpiade Nasional

https://t.co/N3chUGifQD"
2023-02-09 06:49:00+00:00,PendisKemenag,"Kemenag Susun Petunjuk Teknis Program Kartu Indonesia Pintar (KIP) Kuliah

https://t.co/0G7LSjrlu0"
2023-02-09 05:48:00+00:00,PendisKemenag,"Direktur PAI : Mainstreaming Moderasi Beragama Perlu Libatkan Stakeholder PAI

https://t.co/lVR6Ov1KNh"
2023-02-09 04:47:00+00:00,PendisKemenag,"MTsN 2 Bogor Sabet Medali Emas Kepramukaan dan Karate

https://t.co/0svrbRhVCo"
2023-02-09 01:46:00+00:00,PendisKemenag,"Pendidikan Profesi Guru Guna Meningkatkan Kualitas Guru dan Kegiatan Belajar Mengajar

https://t.co/JshZpeH7Pf"
2023-02-09 01:43:00+00:00,PendisKemenag,"Dirjen Pendis Tegaskan Pelaku Pendidikan Harus Responsif Terhadap Perubahan

https://t.co/sAKKurr772"
2023-02-09 00:42:00+00:00,PendisKemenag,"Mahasiswa Fakultas Kedokteran dan Ilmu Kesehatan UIN Malang Sukses Raih Silver Medal pada Ajang Internasional Competition for Senior Class

https://t.co/JThs8Bpa8Z"
2023-02-08 23:39:00+00:00,PendisKemenag,"Tim Program Studi Pendidikan Dokter UIN Malang Sabet Medali Emas di Internasional Science and Invention Fair (ISIF) 2022

https://t.co/Jpl0Mf9Jyd"
2023-02-08 23:16:14+00:00,PendisKemenag,"Selamat Hari Pers Nasioanal

""Pers Bebas, Demokrasi Bermartabat"" https://t.co/BM9kQegHfv"
2023-02-07 04:38:22+00:00,PPesantren,"Selamat dan Sukses Pelaksanaan Imtihan Wathani 1444 H/2023 M.

@PendisKemenag 
@Kemenag_RI https://t.co/ZfJ4tWxrSQ"
2023-02-07 01:44:38+00:00,PPesantren,"Selamat dan sukses Resepsi 1 Abad Nahdlatul Ulama.

@PendisKemenag 
@Kemenag_RI 
@nahdlatululama https://t.co/1o8iohJVrf"
2023-02-06 08:29:41+00:00,IBTimesID,"Syukur adalah koentji dalam meraih hidup tenang dan bahagia. 🤩🫰

Gak percaya? Coba deh. Hehehee

@rahmadotid_
@milenialis_id
@PendisKemenag

See-
https://t.co/9McQoeMmUj"
2023-02-06 08:15:20+00:00,Azlasy,@PendisKemenag Gmn ne jd g pelatihannya
2023-02-05 10:12:26+00:00,gratis_cabe,Ribuan Santri Diniyah Ikuti Ujian Nasional untuk Raih Ijazah Formal @jurnalguruid https://t.co/Gz80Rv32Eb #santri @dewiambaratna @ladang17 @budimalau @ahbuch @akgni @herrybarus @roso_daras @aquarini @nirwarkot @pradanikribow @syafrilelain1 @giazzOuell @masmerdi @PendisKemenag
2023-02-04 10:40:00+00:00,PendisKemenag,"Tahun 2023, Kemenag Perluas Cakupan PPKB GPAI Hingga Puluhan Ribu

https://t.co/MW21aZhi5D"
2023-02-04 06:16:00+00:00,PendisKemenag,"Usung Tema Financial Technology, Randi Raih Juara Lagi

https://t.co/XnW1wNTzQf"
2023-02-04 03:15:00+00:00,PendisKemenag,"Kemenag Matangkan Konsep Pelaksanaan Program Kemandirian Pesantren 2023

https://t.co/a66ahB2gRq"
2023-02-04 01:10:00+00:00,PendisKemenag,"Stafsus Menag: Rektor Hingga Staf harus Jadi Humas Kampus dalam SPAN

https://t.co/4eNL8kdPLg"
2023-02-03 23:09:00+00:00,PendisKemenag,"Kibarkan Merah Putih, Mahasiswa Bahasa dan Sastra Arab UIN Malang Raih Medali Perak di Oman

https://t.co/5b9E5qLeej"
2023-02-03 14:08:00+00:00,PendisKemenag,"Staf Khusus Menag Minta Perguruan Tinggi Keagamaan Islam Negeri (PTKIN) Tonjolkan Keunggulan

https://t.co/8qaAxA1eG1"
2023-02-03 13:06:00+00:00,PendisKemenag,"Kunjungi Kemenag, Guru PAI Lampung Konsultasi Problematika Guru PAI

https://t.co/U6sW5aNMMf"
2023-02-03 10:05:00+00:00,PendisKemenag,"Rektor UIN Bandung: Jadikan Ilmu Perpustakaan dan Informasi Islam sebagai Jurusan Berskala Internasional!

https://t.co/KcL79bPDB7"
2023-02-03 08:04:00+00:00,PendisKemenag,"Di Depan Pengelola PTKIS, Dirjen: Jangan Anggap sesama PT sebagai Musuh

https://t.co/hTUXgj1rnt"
2023-02-03 07:03:00+00:00,PendisKemenag,"Direktur Diktis Ajak Pimpinan PTKI Kelola Kampus dengan Integritas dan Tanggung Jawab

https://t.co/lqHEuXXHHh"
2023-02-03 06:02:23+00:00,PendisKemenag,"Kemenag Selenggarakan Rakor, Mantapkan Persiapan penyelenggaraan Imtihan Wathani 2023

https://t.co/PmjY9k52Si"
2023-02-03 02:53:46+00:00,PPesantren,"Kemenag Selenggarakan Rakor, Mantapkan Persiapan penyelenggaraan Imtihan Wathani 2023.

https://t.co/E4Y9dmG5tY

@PendisKemenag 
@Kemenag_RI"
2023-02-02 06:38:00+00:00,PendisKemenag,"Stafsus Kemenag Ajak UIN Walisongo Ramaikan Dakwah Dunia Maya

https://t.co/TmOPWZkQxE"
2023-02-02 05:36:00+00:00,PendisKemenag,"MAN 1 Lahat Borong Juara di Ajang English Speech Tingkat Sumsel

https://t.co/DnU8rJt9Kj"
2023-02-02 04:35:35+00:00,PendisKemenag,"Siswa MAN 2 Kota Makassar Dapat Penghargaan dari Kakemenag Makassar

https://t.co/7iQLbCgDhd"
2023-02-01 07:17:30+00:00,PendisKemenag,"7 Mahasiswa UIN MY Batusangkar Ikuti Magang Nasional Berbasis MBKM di PT. Madani Intelsysdata Jakarta

https://t.co/6jFYiQmurK"
2023-02-01 06:33:02+00:00,indonesia1945RI,@PendisKemenag Bagi yang belum Bimtek untuk rekening di isi menggunakan rekening tahun lalu atau bagaimana? https://t.co/kROVcqexXP
2023-02-01 05:16:53+00:00,PendisKemenag,"MAN 1 Lahat Borong Juara di Ajang English Speech Tingkat Sumsel

https://t.co/DnU8rJt9Kj"
2023-02-01 02:41:28+00:00,Mtsn2Kudus,"@kemenag.jateng
@kemenag_ri
@mtsnduakudus
@pendidikanislam
@pendidikanmadrasah 
@pendis
@pendiskemenag https://t.co/i1eUzq76uN"
2023-02-01 01:10:00+00:00,PendisKemenag,"Demo Ekstrakurikuler PMR, Pacu Minat dan Bakat di Bidang Kesehatan, Ini Yang Dilakukan MTsN 7 Malang

https://t.co/MoisQqJ59o"
2023-01-31 23:08:30+00:00,PendisKemenag,"Paskibra MTsN 3 Medan Raih Juara Umum BAMBU Series XI Tahun 2023

https://t.co/a0dsGNEgqK"
2023-01-31 15:27:00+00:00,PendisKemenag,"P5RA Kearifan local Batik, MTs Negeri 1 Balikpapan gelar Presentasi Karya Tameng dan Tas

https://t.co/TKn0aifWZu"
2023-01-31 14:05:30+00:00,PendisKemenag,"MAN 2 Kota Bima Lantik dan Kukuhkan Anggota Baru Paskibraka

https://t.co/CelB9ztqlS"
2023-01-31 13:25:30+00:00,PendisKemenag,"Siswa MTsN 2 Bogor Sabet Medali Emas dan Perak Indonesia Taekwondo Challenge Menpora Cup 2023

https://t.co/QkS1x1Gnzk"
2023-01-31 12:24:00+00:00,PendisKemenag,"Pembina KIR Madtsanda Berkolaborasi dan Memotivasi Melalui Literasi di Banyuwangi

https://t.co/BKsbyK3qUV"
2023-01-31 10:22:30+00:00,PendisKemenag,"MIN 1 Bojonegoro Budayakan SABAR, Sarapan Bareng di Hari Jumat

https://t.co/iZoHTe6Ae6"
2023-01-31 08:21:30+00:00,PendisKemenag,"Peringati 1 Abad Nahdlatul Ulama, PWNU Aceh dan UIN Ar-Raniry Gelar Seminar Nasional

https://t.co/H6VzpzGSnl"
2023-01-31 07:21:00+00:00,PendisKemenag,"MAN IC Bateng Raih Penghargaan Kontributor Berita Terbanyak

https://t.co/07UQOeVM5w"
2023-01-31 05:20:30+00:00,PendisKemenag,"Tim UIN Gus Dur Berbagi Pengalaman Pengelolaan Madrasah Diniyah ke EMIA Davao, Filipina

https://t.co/NHENyMwHwJ"
2023-01-31 04:19:30+00:00,PendisKemenag,"Tingkatkan Akreditasi, IAIN Babel Jalin Kerjasama dengan UIN Palembang

https://t.co/oB5pFSU1SQ"
2023-01-31 02:57:20+00:00,BigDasz,@PendisKemenag Kami menunggu seperti halnya mereka https://t.co/59D08vIIUq
2023-01-31 02:56:04+00:00,BigDasz,"@PendisKemenag Luar biassa, salut saya👍"
2023-01-31 02:17:30+00:00,PendisKemenag,"MAN 1 Yogyakarta Panen Juara Lomba Peneliti Belia (LPB) Tingkat Provinsi

https://t.co/angHon5WIz"
2023-01-31 01:16:30+00:00,PendisKemenag,"Tim UIN Gus Dur Kenalkan Kurikulum Madrasah ke WIS Davao, Filipina

https://t.co/cKQkx13NV0"
2023-01-31 00:13:16+00:00,PendisKemenag,"6.291 Guru PAI Ikuti Uji Pengetahuan PPG Dalam Jabatan Batch 3

https://t.co/IgLzKiSIyX"
2023-01-30 07:02:23+00:00,PPesantren,"Kenali lebih dekat tentang Pendidikan Muadalah.
Simak penjelasan video singkatnya. 😊

@PendisKemenag 
@Kemenag_RI https://t.co/vstdw74Dle"
2023-01-30 04:04:30+00:00,PendisKemenag,"Persiapkan Implementasi Kurikulum Merdeka, MAN 2 Kota Jambi Selenggarakan Diskusi Ilmiah

https://t.co/W8HS4djrOk"
2023-01-30 03:01:30+00:00,PendisKemenag,"Bentuk Karakter, MTsN 3 Sleman Adakan Outbound

https://t.co/JtqIafMxnw"
2023-01-30 00:58:00+00:00,PendisKemenag,"Outing Class Agen Perubahan, Roots MTsN 3 Malang

https://t.co/EPtiuVrwVM"
2023-01-29 22:57:00+00:00,PendisKemenag,"Siswa MTsN 1 Kapuas Juara Pada Ajang Kejurnas Taekwondo

https://t.co/JxyA5oMKuh"
2023-01-29 14:10:07+00:00,tibylin,@PendisKemenag Hr gni bru platihan. Ktinggalan mulu sma kmdikbud
2023-01-29 11:56:30+00:00,PendisKemenag,"Persiapkan Implementasi Kurikulum Merdeka, MAN 2 Kota Jambi Selenggarakan Diskusi Ilmiah

https://t.co/W8HS4djrOk"
2023-01-29 11:42:15+00:00,ahlulfikar,@PendisKemenag mantap
2023-01-29 09:53:30+00:00,PendisKemenag,"Lakukan Coaching Clinik IAIN Metro Bertekad Tambah Guru Besar

https://t.co/rUzedLAVKP"
2023-01-29 09:25:45+00:00,Azlasy,@PendisKemenag Ada link nya
2023-01-29 07:52:00+00:00,PendisKemenag,"Dua Siswi MAN 2 Model Medan Raih Prestasi Duta Muda Sumatera Utara

https://t.co/Z5KDbnK08Y"
2023-01-29 04:50:30+00:00,PendisKemenag,"Tahun ini, Kemenag Rekrut Siswa Asing untuk Madrasah

https://t.co/ksuW8jRt39"
2023-01-29 04:02:41+00:00,BudiAcong66,@PendisKemenag Minta link/web info daftarnya min?
2023-01-29 02:54:30+00:00,PendisKemenag,"14.122 Guru Ikuti Uji Pengetahuan PPG Dalam Jabatan, Direktur GTK : Acara Berjalan Lancar

https://t.co/gKFaWbHZq3"
